-66259.9	-66259.8	-66259.9	-66260.2	-66260.4	-66260.3	-66260.8	-66260.9	-66261	-66261.1	-66261.4	-66261.5	-66261.6	-66261.9	-66262	-66262.2	-66262.4	-66262.6	-66262.6	-66263	-66263	-66262.9	-66263.4	-66263.4	-66263.3	-66263.3	-66263.8	-66263.5	-66264	-66264.3	-66264.3	-66264.7	-66264.8	-66264.7	-66264.6	-66264.9	-66264.6	-66265	-66265.3	-66265.7	-66266	-66266.4	-66266.7	-66266.9	-66267.3	-66267.4	-66267.4	-66267.6	-66267.9	-66267.8	-66267.9	-66268.2	-66268.1	-66268	-66268	-66268	-66267.7	-66268.1	-66268.4	-66268.7	-66269	-66269.4	-66269.1	-66269.2	-66269.3	-66269	-66269.4	-66269.6	-66269.8	-66269.8	-66270.4	-66270.5	-66270.5	-66270.8	-66270.8	-66270.8	-66271.1	-66271.3	-66271.1	-66271.5	-66271.7	-66271.7	-66271.7	-66271.9	-66271.8	-66272.1	-66272.5	-66272.4	-66272.5	-66272.6	-66272.8	-66272.5	-66273	-66273.2	-66273.2	-66273.5	-66273.9	-66274	-66273.9	-66274.5	-66274.2	-66274.5	-66274.8	-66274.9	-66274.8	-66275.2	-66275.2	-66274.9	-66275.4	-66275.4	-66275.5	-66275.6	-66275.8	-66275.6	-66275.8	-66276.1	-66276.1	-66276.4	-66276.6	-66276.8	-66276.6	-66277.1	-66277	-66277.2	-66277.4	-66277.8	-66277.6	-66277.9	-66278.4	-66278.2	-66278.4	-66278.6	-66278.6	-66278.6	-66279.1	-66279	-66279	-66279.5	-66279.7	-66279.9	-66280	-66280.3	-66280	-66280.4	-66280.4	-66280.4	-66280.5	-66280.9	-66281	-66281.1	-66281.6	-66281.5	-66281.8	-66281.9	-66282.2	-66282.1	-66282.4	-66282.7	-66282.7	-66282.8
-66260.2	-66260.1	-66260.5	-66260.5	-66260.5	-66260.7	-66261	-66261	-66261.2	-66261.6	-66261.4	-66261.7	-66261.8	-66262	-66262	-66262.5	-66262.4	-66262.5	-66262.8	-66262.8	-66262.9	-66263.2	-66263.4	-66263.3	-66263.5	-66263.4	-66263.6	-66263.9	-66264.1	-66264.3	-66264.4	-66264.9	-66264.8	-66264.9	-66264.9	-66265.1	-66264.8	-66265.4	-66265.6	-66265.6	-66266	-66266.3	-66266.4	-66266.6	-66267.2	-66266.9	-66267.1	-66267.4	-66267.3	-66267.3	-66267.5	-66267.5	-66267.4	-66267.7	-66267.6	-66267.7	-66267.9	-66268.3	-66268.4	-66268.9	-66269.3	-66269.4	-66269.3	-66269.3	-66269.2	-66268.9	-66269.3	-66269.3	-66269.4	-66269.9	-66270.2	-66270.1	-66270.4	-66270.7	-66270.4	-66270.8	-66270.9	-66271	-66271	-66271.5	-66271.3	-66271.4	-66271.7	-66271.7	-66271.9	-66272.2	-66272.4	-66272.4	-66272.8	-66272.7	-66272.6	-66272.7	-66273	-66273.1	-66273.2	-66273.8	-66273.7	-66274	-66274.2	-66274.5	-66274.3	-66274.8	-66274.9	-66274.9	-66275.2	-66275.3	-66275.3	-66275.4	-66275.8	-66275.7	-66276	-66276.1	-66276.1	-66276.2	-66276.5	-66276.5	-66276.5	-66277	-66276.9	-66276.9	-66277	-66277.2	-66277.1	-66277.5	-66277.7	-66277.6	-66278	-66278.3	-66278.4	-66278.3	-66278.7	-66278.6	-66278.6	-66278.8	-66278.9	-66278.9	-66279.1	-66279.4	-66279.3	-66279.9	-66280	-66280	-66280	-66280.4	-66280.3	-66280.3	-66280.7	-66280.6	-66280.9	-66281.2	-66281.5	-66281.4	-66281.7	-66281.7	-66281.8	-66282	-66282.1	-66282.3	-66282.6	-66283
-66260.1	-66260.2	-66260.6	-66260.4	-66260.7	-66261	-66261	-66261.3	-66261.4	-66261.5	-66261.5	-66262	-66261.8	-66262	-66262.3	-66262.3	-66262.3	-66262.8	-66262.9	-66262.7	-66263.3	-66263.3	-66263.3	-66263.4	-66263.8	-66263.6	-66263.9	-66264.3	-66264.3	-66264.5	-66264.7	-66264.9	-66264.9	-66265.3	-66265.3	-66265.4	-66265.6	-66265.7	-66265.7	-66265.7	-66266.2	-66265.9	-66266.2	-66266.4	-66266.6	-66266.6	-66266.8	-66266.8	-66266.8	-66267	-66266.9	-66267	-66267.2	-66267.2	-66267	-66267.5	-66267.8	-66268	-66268.5	-66268.9	-66269.2	-66269.3	-66269.5	-66269	-66269.1	-66269	-66269.2	-66269.2	-66269.6	-66270	-66270	-66270.4	-66270.6	-66270.7	-66270.7	-66271.1	-66271.1	-66271.3	-66271.6	-66271.5	-66271.7	-66271.9	-66271.9	-66271.9	-66272.3	-66272.2	-66272.4	-66272.7	-66272.8	-66272.8	-66273	-66273.3	-66273.3	-66273.7	-66273.9	-66274.1	-66274.2	-66274.5	-66274.5	-66274.5	-66274.8	-66274.8	-66274.8	-66275	-66275.3	-66274.9	-66275.4	-66275.5	-66275.4	-66275.6	-66275.9	-66275.8	-66276	-66276.2	-66276.2	-66276.4	-66276.7	-66276.7	-66276.8	-66276.9	-66277	-66276.9	-66277.1	-66277.2	-66277.4	-66277.6	-66278.1	-66278	-66278.3	-66278.6	-66278.5	-66278.5	-66278.9	-66279	-66278.9	-66279.3	-66279.3	-66279.3	-66279.7	-66280	-66280	-66280.3	-66280.5	-66280.3	-66280.5	-66280.7	-66280.7	-66280.8	-66281.3	-66281.4	-66281.5	-66281.8	-66281.9	-66281.9	-66282.2	-66282.4	-66282.3	-66282.5	-66283	-66283.1
-66260.8	-66260.8	-66260.8	-66261	-66261.1	-66261	-66261.4	-66261.6	-66261.6	-66261.7	-66262	-66262.1	-66262.1	-66262.3	-66262.4	-66262.3	-66262.6	-66262.7	-66262.8	-66263	-66263.5	-66263.2	-66263.6	-66263.7	-66263.7	-66264	-66264.4	-66264.3	-66264.5	-66264.8	-66264.8	-66264.8	-66265.2	-66265.3	-66265.5	-66265.7	-66265.9	-66265.9	-66266.1	-66266.1	-66266	-66266	-66266.2	-66266.1	-66266	-66266.3	-66266.4	-66266.3	-66266.6	-66266.8	-66266.6	-66266.9	-66266.9	-66266.8	-66267.1	-66267.5	-66267.7	-66268.1	-66268.8	-66269	-66269.3	-66269.5	-66269.4	-66269.3	-66269.4	-66269.5	-66269.5	-66269.9	-66269.9	-66270.4	-66270.5	-66270.5	-66270.3	-66270.8	-66271	-66271.1	-66271.3	-66271.3	-66271.4	-66271.2	-66271.7	-66271.8	-66271.7	-66272	-66272.2	-66272.2	-66272.5	-66272.6	-66272.5	-66272.9	-66273	-66273	-66273.2	-66273.6	-66273.7	-66273.8	-66274.2	-66274.1	-66274.1	-66274.2	-66274.3	-66274.1	-66274.4	-66274.6	-66274.5	-66274.8	-66275.1	-66274.9	-66275.1	-66275.6	-66275.6	-66275.8	-66276.1	-66276.2	-66276.4	-66276.7	-66276.8	-66276.7	-66277	-66276.9	-66276.8	-66276.9	-66277.1	-66277.1	-66277.2	-66277.5	-66277.8	-66277.9	-66278.1	-66278.4	-66278.4	-66278.8	-66278.8	-66278.8	-66279.1	-66279.3	-66279.3	-66279.5	-66279.9	-66279.8	-66280.1	-66280.4	-66280.4	-66280.4	-66280.8	-66280.6	-66280.6	-66281	-66281	-66281.2	-66281.4	-66281.6	-66281.5	-66281.8	-66281.9	-66282	-66282.3	-66282.6	-66282.7	-66282.7
-66260.8	-66260.9	-66261.1	-66261.3	-66261.1	-66261.3	-66261.7	-66261.7	-66261.8	-66262.2	-66262.3	-66262.3	-66262.5	-66262.5	-66262.5	-66262.8	-66262.9	-66262.9	-66263.1	-66263.4	-66263.3	-66263.5	-66263.6	-66263.7	-66263.7	-66264	-66264	-66264.1	-66264.3	-66264.4	-66264.4	-66264.7	-66264.9	-66265.1	-66265.4	-66265.8	-66265.8	-66266.1	-66266.2	-66266	-66265.8	-66266	-66265.6	-66265.6	-66265.8	-66266	-66266.1	-66266.4	-66266.5	-66266.6	-66266.8	-66267.1	-66267	-66267.2	-66267.4	-66267.5	-66267.8	-66268.2	-66268.4	-66268.8	-66269.3	-66269.2	-66269.4	-66269.8	-66269.8	-66269.7	-66270	-66270	-66270.1	-66270.3	-66270.3	-66270.4	-66270.4	-66270.5	-66270.6	-66271	-66271.2	-66271.4	-66271.3	-66271.6	-66271.7	-66271.6	-66271.9	-66272.2	-66272.1	-66272.4	-66272.6	-66272.5	-66272.8	-66273.1	-66273	-66273.5	-66273.7	-66273.8	-66273.9	-66274.2	-66274.1	-66274.1	-66274	-66274	-66274	-66274.2	-66274.3	-66274.3	-66274.5	-66274.8	-66274.9	-66275	-66275.3	-66275.5	-66275.5	-66275.8	-66276	-66276.2	-66276.6	-66276.9	-66276.8	-66277.3	-66277.4	-66277.4	-66277.5	-66277.6	-66277.5	-66277.9	-66278.1	-66278.1	-66278.3	-66278.7	-66278.8	-66278.8	-66279	-66279	-66279.1	-66279.3	-66279.2	-66279.4	-66279.5	-66279.8	-66279.7	-66279.9	-66280.1	-66280.3	-66280.4	-66280.6	-66280.5	-66280.4	-66280.9	-66280.8	-66281	-66281.3	-66281.3	-66281.4	-66281.9	-66281.9	-66281.8	-66282.1	-66282.3	-66282.3	-66282.5	-66283
-66260.1	-66260.7	-66260.7	-66260.7	-66261	-66261.1	-66261.2	-66261.4	-66261.7	-66262	-66262	-66262.3	-66262.4	-66262.4	-66262.6	-66262.6	-66262.7	-66262.8	-66263	-66263.1	-66263.4	-66263.6	-66263.5	-66263.7	-66263.9	-66264	-66263.8	-66264.2	-66264.1	-66264.2	-66264.3	-66264.3	-66264.3	-66264.9	-66265.2	-66265.1	-66265.7	-66265.6	-66265.5	-66265.5	-66265.4	-66265.2	-66265.3	-66265.6	-66265.5	-66265.8	-66266.3	-66266.5	-66266.7	-66267.1	-66267.3	-66267.3	-66267.4	-66267.7	-66267.7	-66267.7	-66268	-66267.7	-66268.1	-66268.5	-66268.8	-66268.9	-66269.8	-66269.7	-66270	-66270.5	-66270.6	-66270.5	-66270.7	-66270.7	-66270.5	-66270.8	-66271	-66271	-66271.2	-66271.6	-66271.8	-66271.6	-66272	-66271.9	-66271.9	-66272.2	-66272.3	-66272.3	-66272.5	-66272.7	-66272.6	-66272.9	-66273.1	-66273.2	-66273.4	-66273.8	-66273.7	-66273.8	-66274	-66273.9	-66273.9	-66273.9	-66274	-66273.9	-66274.1	-66274	-66274	-66274.3	-66274.5	-66274.4	-66274.6	-66275.1	-66274.9	-66275	-66275.3	-66275.3	-66275.4	-66275.9	-66276	-66276.1	-66276.7	-66276.8	-66277	-66277.2	-66277.5	-66277.5	-66277.6	-66277.8	-66277.9	-66278.1	-66278.4	-66278.4	-66278.5	-66278.7	-66278.7	-66278.7	-66279	-66279.1	-66279	-66279.2	-66279.6	-66279.4	-66279.7	-66280.1	-66280.2	-66280.3	-66280.7	-66280.6	-66280.8	-66281.1	-66281.1	-66281	-66281.5	-66281.6	-66281.7	-66282.1	-66282.2	-66282.2	-66282.5	-66282.6	-66282.5	-66282.7	-66283	-66283.1
-66260.8	-66261	-66260.9	-66261.1	-66261.5	-66261.5	-66261.6	-66262	-66262	-66262	-66262.5	-66262.5	-66262.5	-66262.8	-66262.7	-66262.5	-66263	-66263	-66263	-66263.3	-66263.6	-66263.5	-66263.7	-66263.9	-66264.1	-66264.2	-66264.5	-66264.5	-66264.5	-66264.7	-66264.9	-66264.8	-66265.3	-66265.6	-66265.7	-66265.9	-66266.3	-66265.9	-66266	-66266.1	-66265.9	-66265.9	-66266.2	-66266.1	-66266.4	-66266.9	-66267.2	-66267.5	-66268.1	-66268.2	-66268.5	-66268.7	-66269	-66268.8	-66268.9	-66268.9	-66268.7	-66268.5	-66268.7	-66268.6	-66268.6	-66269	-66269.2	-66269.5	-66269.9	-66270.3	-66270.4	-66270.8	-66270.7	-66270.3	-66270.4	-66270.4	-66270.4	-66270.7	-66271.1	-66271.2	-66271.5	-66271.6	-66271.8	-66271.8	-66272.1	-66272.4	-66272.3	-66272.6	-66272.9	-66272.8	-66273	-66273.2	-66273.1	-66273.5	-66274	-66273.7	-66273.9	-66274.1	-66273.9	-66273.7	-66274	-66273.8	-66273.9	-66274.3	-66274.3	-66274.4	-66274.7	-66274.9	-66275.1	-66275.3	-66275.4	-66275.6	-66275.8	-66275.9	-66276.1	-66275.8	-66276.2	-66276.3	-66276.4	-66276.6	-66277.2	-66277.1	-66277.5	-66278	-66277.6	-66277.9	-66278.1	-66277.6	-66277.8	-66278.2	-66278.2	-66278.4	-66278.9	-66278.8	-66279	-66279.2	-66279.3	-66279.3	-66279.7	-66279.8	-66279.8	-66280	-66280.2	-66280.3	-66280.4	-66280.6	-66280.9	-66281	-66281.3	-66281.5	-66281.4	-66281.7	-66281.9	-66281.8	-66282.1	-66282.2	-66282.2	-66282.4	-66282.7	-66282.5	-66282.6	-66282.9	-66282.8	-66283.1
-66261.1	-66261	-66261.3	-66261.4	-66261.4	-66261.6	-66261.7	-66261.8	-66261.8	-66262.1	-66262.2	-66262.4	-66262.5	-66262.6	-66262.6	-66262.8	-66263	-66263	-66263.2	-66263.6	-66263.6	-66263.7	-66264.2	-66264	-66264.2	-66264.6	-66264.6	-66264.6	-66264.9	-66265	-66264.8	-66265.3	-66265.3	-66265.6	-66265.9	-66266.1	-66265.8	-66266	-66266.1	-66265.9	-66266.1	-66266.2	-66266.5	-66266.8	-66267.4	-66267.6	-66268	-66268.5	-66268.9	-66269.1	-66269.2	-66269.7	-66269.7	-66269.7	-66269.8	-66269.7	-66269.4	-66269.2	-66268.8	-66268.5	-66268.7	-66268.6	-66268.6	-66269.2	-66269.7	-66269.8	-66270.5	-66270.6	-66270.5	-66270.6	-66270.5	-66270.4	-66270.8	-66271.1	-66271.1	-66271.6	-66271.7	-66271.8	-66271.8	-66272.1	-66272	-66272	-66272.4	-66272.5	-66272.7	-66272.7	-66272.9	-66273.1	-66273.2	-66273.5	-66273.8	-66273.8	-66273.9	-66274	-66273.4	-66273.8	-66273.7	-66273.8	-66274.1	-66274.4	-66274.3	-66274.8	-66275.2	-66275.1	-66275.4	-66275.8	-66275.9	-66275.9	-66276.3	-66276.2	-66276.4	-66276.5	-66276.4	-66276.6	-66276.7	-66277	-66277	-66277.5	-66277.7	-66278	-66278	-66278.2	-66278.2	-66278.2	-66278.2	-66278.2	-66278.4	-66278.7	-66279	-66278.8	-66279.2	-66279.3	-66279.2	-66279.4	-66279.7	-66279.6	-66279.7	-66280	-66279.7	-66280.2	-66280.3	-66280.5	-66280.6	-66281.1	-66281	-66281.1	-66281.3	-66281.3	-66281.2	-66281.5	-66281.8	-66281.7	-66282.3	-66282.5	-66282.5	-66282.6	-66282.8	-66282.9	-66283.1	-66283.4
-66261	-66261	-66261.4	-66261.4	-66261.4	-66261.8	-66261.6	-66261.7	-66262	-66262.1	-66262	-66262.6	-66262.5	-66262.7	-66262.7	-66262.9	-66263.1	-66263.3	-66263.5	-66263.6	-66263.9	-66263.9	-66264.2	-66264.2	-66264.5	-66264.5	-66264.5	-66264.7	-66264.7	-66264.7	-66264.8	-66265.2	-66265.3	-66265.4	-66265.6	-66265.6	-66265.6	-66265.7	-66265.6	-66265.6	-66266.2	-66266.3	-66266.8	-66267.3	-66267.8	-66268	-66268.6	-66268.7	-66268.8	-66269.1	-66269.2	-66269.4	-66269.7	-66270.2	-66270.1	-66270.2	-66270.1	-66270	-66269.5	-66269.3	-66269.3	-66269.2	-66269.5	-66269.7	-66270	-66270.3	-66271	-66270.8	-66271	-66271.1	-66271	-66271.1	-66271.2	-66271.4	-66271.4	-66272	-66272	-66272	-66272.2	-66272.4	-66272.3	-66272.5	-66272.9	-66272.9	-66273.1	-66273.1	-66273.3	-66273.6	-66274	-66274.1	-66274.2	-66274.5	-66274.2	-66274.1	-66274	-66274.1	-66273.8	-66274.1	-66274.4	-66274.7	-66275.2	-66275.4	-66275.6	-66275.8	-66276.3	-66276.2	-66276.6	-66276.6	-66276.8	-66276.8	-66276.9	-66276.9	-66276.7	-66276.9	-66276.9	-66276.9	-66277.1	-66277.6	-66277.6	-66278	-66278.3	-66278.2	-66278.1	-66278.2	-66278	-66278	-66278.4	-66278.2	-66278.6	-66279	-66279	-66279	-66279.3	-66279.4	-66279.5	-66279.8	-66279.8	-66280.1	-66280	-66280.4	-66280.5	-66280.6	-66281	-66281.2	-66281.2	-66281.6	-66281.9	-66282	-66282.4	-66282.6	-66282.6	-66282.8	-66283	-66282.9	-66283	-66283.3	-66283.1	-66283.4	-66283.7	-66283.6
-66261.4	-66261.6	-66261.8	-66262	-66262.1	-66262.1	-66262.3	-66262.5	-66262.4	-66262.5	-66262.6	-66262.5	-66262.6	-66262.7	-66262.9	-66262.8	-66263.1	-66263.2	-66263.4	-66263.4	-66263.8	-66263.7	-66263.9	-66264.1	-66264.2	-66264.1	-66264.5	-66264.6	-66264.7	-66265	-66265.2	-66265.2	-66265.5	-66265.7	-66265.7	-66265.8	-66265.9	-66265.5	-66265.8	-66265.9	-66266.2	-66266.7	-66267.2	-66267.5	-66267.7	-66267.9	-66267.9	-66267.9	-66267.8	-66267.9	-66267.7	-66268.1	-66268.3	-66268.8	-66269	-66269.6	-66269.7	-66269.6	-66269.6	-66269.3	-66269	-66268.9	-66269	-66268.9	-66269.5	-66269.9	-66270.1	-66270.5	-66270.6	-66270.6	-66270.6	-66270.8	-66270.9	-66271.3	-66271.5	-66271.6	-66271.8	-66271.8	-66272	-66271.8	-66272.2	-66272.3	-66272.5	-66272.4	-66272.8	-66272.7	-66272.8	-66273.1	-66273.2	-66273.4	-66273.6	-66273.5	-66273.4	-66273.5	-66273.3	-66273.3	-66273.7	-66274	-66274.6	-66274.9	-66275.5	-66275.6	-66276.1	-66276	-66276.1	-66276.1	-66276.5	-66276.6	-66276.8	-66277.1	-66277.1	-66277.1	-66276.9	-66277	-66276.7	-66276.9	-66277	-66277.1	-66277.5	-66277.9	-66278	-66278.1	-66278.3	-66278.1	-66278.1	-66278.1	-66278.1	-66278.3	-66278.4	-66278.8	-66278.9	-66279.2	-66279.4	-66279.6	-66279.5	-66279.8	-66279.8	-66280.1	-66280.2	-66280.4	-66280.5	-66280.8	-66281	-66281	-66281.5	-66281.5	-66281.6	-66281.7	-66281.8	-66281.9	-66282.2	-66282.3	-66282.4	-66282.6	-66282.8	-66282.8	-66283	-66283.1	-66283.2	-66283.3
-66261.5	-66261.5	-66261.6	-66261.9	-66261.9	-66262.1	-66262.2	-66262.3	-66262.3	-66262.5	-66262.6	-66262.6	-66262.9	-66262.9	-66263.1	-66263.3	-66263.4	-66263.4	-66263.7	-66263.8	-66264	-66264.2	-66264.3	-66264.6	-66264.6	-66264.7	-66264.8	-66265	-66265	-66265.5	-66265.6	-66265.8	-66266	-66265.9	-66266	-66266.2	-66266	-66266	-66266.3	-66266.4	-66266.8	-66267.5	-66267.6	-66268	-66268	-66267.7	-66267.2	-66267	-66266.4	-66266.2	-66266	-66266.2	-66266.6	-66267.5	-66268.4	-66268.9	-66269.9	-66270.4	-66270.6	-66270.6	-66270.4	-66270.1	-66269.9	-66270.1	-66270.2	-66270.3	-66270.5	-66271	-66270.9	-66271	-66271.1	-66271	-66271.3	-66271.4	-66271.5	-66271.6	-66271.8	-66271.7	-66272	-66272.1	-66272.2	-66272.3	-66272.6	-66272.6	-66272.7	-66272.8	-66273	-66273.4	-66273.6	-66273.9	-66273.8	-66273.9	-66273.9	-66273.8	-66273.7	-66274	-66274.5	-66274.9	-66275.6	-66276	-66276.2	-66276.4	-66276.3	-66276.1	-66276	-66276.1	-66276.3	-66276.7	-66276.9	-66277.3	-66277.3	-66277.5	-66277.5	-66277.3	-66277.1	-66277.1	-66277.1	-66277.3	-66277.9	-66278	-66278.4	-66278.7	-66278.7	-66278.8	-66278.7	-66278.6	-66278.6	-66279	-66278.8	-66279.3	-66279.4	-66279.7	-66279.8	-66280	-66280	-66280.3	-66280.4	-66280.5	-66280.7	-66280.9	-66281.1	-66281.2	-66281.4	-66281.5	-66281.8	-66281.9	-66282.2	-66282.3	-66282.4	-66282.6	-66282.7	-66282.7	-66282.8	-66283	-66282.9	-66283	-66283.1	-66283	-66283.4	-66283.6
-66261	-66261.2	-66261.5	-66261.6	-66261.6	-66261.8	-66262	-66262.1	-66262.3	-66262.3	-66262.6	-66263	-66263.1	-66263.1	-66263.3	-66263.3	-66263.4	-66263.7	-66263.8	-66264	-66264.1	-66264.3	-66264.3	-66264.5	-66264.6	-66264.6	-66264.8	-66265	-66265	-66265.3	-66265.6	-66265.9	-66265.8	-66266.1	-66266.1	-66266.1	-66266	-66266.2	-66266.3	-66266.9	-66267.3	-66267.8	-66267.9	-66268	-66267.4	-66266.7	-66265.9	-66265.2	-66264.5	-66264	-66263.5	-66263.6	-66264	-66265	-66265.9	-66267.2	-66268.6	-66269.5	-66270	-66270.3	-66270.2	-66269.9	-66269.7	-66269.7	-66269.8	-66270.1	-66270.4	-66270.6	-66270.9	-66271	-66271.1	-66271.3	-66271.6	-66271.6	-66271.8	-66272	-66272	-66272	-66272.2	-66272.4	-66272.5	-66272.7	-66272.9	-66272.9	-66273	-66273.2	-66273.4	-66273.7	-66274.1	-66274.2	-66274.2	-66274.3	-66274.1	-66274	-66274.2	-66274.5	-66274.8	-66275.7	-66276	-66276.2	-66276.2	-66275.9	-66275.3	-66275.1	-66274.8	-66274.9	-66274.9	-66275.3	-66275.8	-66276.4	-66276.9	-66277.2	-66277.3	-66277.5	-66277.4	-66277.2	-66277	-66277.3	-66277.6	-66278.1	-66278.5	-66279	-66278.9	-66279.2	-66279	-66279	-66279.1	-66279.2	-66279.3	-66279.5	-66279.6	-66279.7	-66280	-66280.1	-66280.3	-66280.4	-66280.4	-66280.6	-66280.7	-66280.9	-66280.8	-66281.1	-66281.2	-66281.4	-66281.5	-66281.7	-66282	-66282.2	-66282.4	-66282.5	-66282.8	-66282.7	-66283.1	-66283.1	-66283.3	-66283.5	-66283.7	-66283.7	-66283.9	-66284.1
-66261.6	-66261.7	-66261.8	-66261.9	-66262.2	-66262.1	-66262.2	-66262.6	-66262.6	-66262.8	-66263	-66263.1	-66263.3	-66263.4	-66263.4	-66263.6	-66263.7	-66263.8	-66263.9	-66264	-66264.3	-66264.4	-66264.5	-66264.5	-66264.7	-66264.9	-66265	-66265.2	-66265.3	-66265.5	-66265.7	-66266	-66266.1	-66266.4	-66266.1	-66266.2	-66266.4	-66266.4	-66266.7	-66267.3	-66267.7	-66267.9	-66268	-66267.5	-66266.8	-66265.8	-66264.8	-66264.2	-66264.1	-66263.7	-66262.9	-66262.6	-66262.9	-66263.7	-66264.7	-66266	-66267.6	-66268.8	-66270	-66270.3	-66270.5	-66270.3	-66270.3	-66269.9	-66270	-66270.2	-66270.4	-66270.7	-66271.1	-66271.1	-66271.4	-66271.4	-66271.7	-66271.8	-66272	-66271.9	-66272	-66272.2	-66272.3	-66272.4	-66272.5	-66272.6	-66272.8	-66272.9	-66273	-66273.3	-66273.6	-66273.9	-66274.1	-66274.2	-66274.3	-66274.3	-66274.1	-66274.3	-66274.5	-66275	-66275.5	-66276	-66276.3	-66276.5	-66275.9	-66275.2	-66274.5	-66274	-66273.5	-66273.5	-66273.7	-66274.2	-66274.8	-66275.5	-66276.2	-66276.9	-66277.5	-66277.4	-66277.3	-66277.3	-66277.1	-66277	-66277.4	-66277.7	-66278.1	-66278.6	-66278.9	-66279	-66279	-66278.8	-66278.7	-66278.9	-66279.3	-66279.3	-66279.7	-66279.8	-66280.1	-66280.1	-66280.4	-66280.4	-66280.6	-66280.6	-66280.8	-66280.9	-66281	-66281.2	-66281.2	-66281.3	-66281.7	-66281.6	-66281.7	-66281.9	-66282.1	-66282	-66282.5	-66282.6	-66282.8	-66283	-66283.1	-66283.1	-66283.3	-66283.7	-66283.8	-66283.9
-66261.4	-66261.5	-66261.6	-66261.8	-66261.9	-66262.1	-66262.3	-66262.6	-66262.5	-66262.8	-66263	-66263.1	-66263.2	-66263.5	-66263.5	-66263.7	-66263.9	-66263.9	-66264.2	-66264.3	-66264.3	-66264.5	-66264.6	-66264.7	-66264.8	-66265	-66265	-66265.3	-66265.2	-66265.4	-66265.8	-66266	-66266	-66265.9	-66265.8	-66265.9	-66265.9	-66266	-66266.7	-66267.1	-66267.6	-66267.5	-66267.4	-66266.6	-66265.7	-66264.5	-66263.8	-66264.8	-66266.8	-66267.2	-66266	-66264.6	-66264.2	-66264.3	-66264.4	-66264.9	-66266.4	-66267.9	-66269.3	-66270.2	-66270.7	-66270.5	-66270.4	-66270	-66270.1	-66270.1	-66270.4	-66270.8	-66270.9	-66271.2	-66271.3	-66271.6	-66271.7	-66272.2	-66272.1	-66272	-66272.1	-66272.3	-66272.4	-66272.7	-66272.9	-66272.7	-66272.9	-66273.1	-66273.2	-66273.3	-66273.6	-66274	-66274.2	-66274.4	-66274.1	-66274.1	-66273.9	-66274.2	-66274.5	-66275.2	-66275.8	-66276.1	-66276.2	-66275.5	-66274.7	-66273.9	-66273.2	-66272.5	-66272.6	-66272.8	-66272.8	-66273.1	-66273.7	-66274.6	-66275.7	-66276.8	-66277.3	-66277.7	-66277.6	-66277.3	-66277.2	-66276.8	-66277.2	-66277.5	-66278.1	-66278.5	-66279.1	-66279.1	-66279.3	-66279.1	-66279.1	-66279.2	-66279.2	-66279.2	-66279.7	-66280	-66280.2	-66280.5	-66280.7	-66280.7	-66281	-66281.1	-66281.3	-66281.4	-66281.6	-66281.4	-66282	-66281.9	-66282.1	-66282.2	-66282.3	-66282.4	-66282.4	-66282.4	-66282.8	-66283.1	-66283.1	-66283.5	-66283.5	-66283.7	-66283.9	-66284.1	-66284.1	-66284.5
-66261.3	-66261.6	-66261.6	-66261.9	-66262	-66262.3	-66262.4	-66262.6	-66262.8	-66263.1	-66263.1	-66263.2	-66263.5	-66263.6	-66263.6	-66263.8	-66264	-66264	-66264.1	-66264.3	-66264.3	-66264.6	-66264.5	-66264.6	-66264.9	-66265.1	-66265.1	-66265.3	-66265.5	-66265.6	-66265.9	-66266	-66266.2	-66266.2	-66266.4	-66266.4	-66266.5	-66267.1	-66267.6	-66268.1	-66268.4	-66268.5	-66268	-66266.9	-66265.7	-66264.8	-66265.1	-66269.6	-66275.5	-66277.1	-66275.2	-66272.8	-66271.4	-66269.5	-66267	-66265.3	-66265.6	-66267	-66268.6	-66269.7	-66270.5	-66270.6	-66270.4	-66270.4	-66270.1	-66270.3	-66270.5	-66271	-66271	-66271.4	-66271.6	-66271.8	-66271.9	-66272	-66272.1	-66272.3	-66272.4	-66272.5	-66272.7	-66273.1	-66273.1	-66273.1	-66273	-66273.2	-66273.2	-66273.5	-66273.8	-66274.1	-66274.1	-66274.3	-66274.2	-66274	-66274.1	-66274.4	-66274.8	-66275.6	-66276.1	-66276.1	-66275.9	-66275.1	-66273.9	-66272.9	-66272.2	-66272.5	-66273.7	-66274.6	-66274.1	-66273.5	-66273.2	-66273.9	-66275.1	-66276.1	-66277.3	-66277.9	-66278	-66277.7	-66277.5	-66277.2	-66277.3	-66277.4	-66278	-66278.7	-66279.2	-66279.5	-66279.7	-66279.7	-66279.5	-66279.6	-66279.5	-66279.8	-66280.1	-66280.2	-66280.3	-66280.5	-66280.6	-66280.6	-66280.7	-66280.8	-66280.9	-66281.2	-66281.4	-66281.5	-66281.6	-66281.7	-66281.8	-66282.1	-66282.1	-66282.2	-66282.2	-66282.5	-66282.6	-66282.7	-66282.9	-66283.2	-66283.2	-66283.4	-66283.5	-66283.7	-66283.9	-66284.2
